id,username,password,enabled,accountNonExpired,credentialsNonExpired,accountNonLocked
1,admin,admin,true,true,true,true
2,user,user,true,true,true,true
3,cashier1,cashier,true,true,true,true
4,cashier2,cashier,true,true,true,true
5,cashier3,cashier,true,true,true,true
6,cashier4,cashier,true,true,true,true
7,cashier5,cashier,true,true,true,true
8,cashier6,cashier,true,true,true,true
9,cashier7,cashier,true,true,true,true
10,cashier8,cashier,true,true,true,true
11,cashier9,cashier,true,true,true,true
12,cashier10,cashier,true,true,true,true
13,cashier11,cashier,true,true,true,true
14,cashier12,cashier,true,true,true,true
15,cashier13,cashier,true,true,true,true
16,cashier14,cashier,true,true,true,true
17,cashier15,cashier,true,true,true,true
18,cashier16,cashier,true,true,true,true
19,cashier17,cashier,true,true,true,true
20,cashier18,cashier,true,true,true,true
21,cashier19,cashier,true,true,true,true
22,cashier20,cashier,true,true,true,true
23,cashier21,cashier,true,true,true,true
24,cashier22,cashier,true,true,true,true
25,cashier23,cashier,true,true,true,true
26,cashier24,cashier,true,true,true,true
27,cashier25,cashier,true,true,true,true
